RecID,YearC,Decade,FlagName,FleetCode,ReportedCoverageRatio,ByQuarter,xLon5,yLat5,ReportedEffort,EstimatedCoverageRatio,ImputedEffort,TotalEstimatedEffort
242,2000,2000,Brazil,BRA-HN,NA,1,-27.5,-2.5,33160,1,0,33160
243,2000,2000,Brazil,BRA-HN,NA,1,-27.5,2.5,9600,1,0,9600
244,2000,2000,Brazil,BRA-HN,NA,2,-32.5,-2.5,2900,1,0,2900
245,2000,2000,Brazil,BRA-HN,NA,2,-32.5,2.5,9500,1,0,9500
246,2000,2000,Brazil,BRA-HN,NA,2,-27.5,2.5,14400,1,0,14400
247,2000,2000,Brazil,BRA-HN,NA,3,-37.5,-2.5,14400,1,0,14400
248,2000,2000,Brazil,BRA-HN,NA,3,-37.5,2.5,1600,1,0,1600
249,2000,2000,Brazil,BRA-HN,NA,3,-32.5,-7.5,9600,1,0,9600
250,2000,2000,Brazil,BRA-HN,NA,3,-32.5,-2.5,32800,1,0,32800
251,2000,2000,Brazil,BRA-HN,NA,4,-37.5,2.5,11600,1,0,11600
252,2000,2000,Brazil,BRA-HN,NA,4,-32.5,-7.5,1960,1,0,1960
253,2000,2000,Brazil,BRA-HN,NA,4,-32.5,-2.5,55860,1,0,55860
254,2000,2000,Brazil,BRA-HN,NA,4,-32.5,2.5,19240,1,0,19240
255,2000,2000,Brazil,BRA-PA,NA,1,-37.5,-2.5,18750,1,0,18750
256,2000,2000,Brazil,BRA-PA,NA,1,-32.5,-2.5,18500,1,0,18500
257,2000,2000,Brazil,BRA-PA,NA,1,-27.5,-2.5,14050,1,0,14050
258,2000,2000,Brazil,BRA-PA,NA,3,-42.5,2.5,13200,0.479206897,14345.51342,27545.51342
259,2000,2000,Brazil,BRA-PA,NA,3,-42.5,7.5,18000,0.5625,14000,32000
260,2000,2000,Brazil,BRA-PT,NA,1,-32.5,2.5,1200,1,0,1200
261,2000,2000,Brazil,BRA-PT,NA,1,-27.5,-22.5,3720,1,0,3720
262,2000,2000,Brazil,BRA-PT,NA,1,-27.5,-17.5,840,1,0,840
263,2000,2000,Brazil,BRA-PT,NA,1,-27.5,-2.5,1200,1,0,1200
264,2000,2000,Brazil,BRA-PT,NA,1,-27.5,2.5,28860,1,0,28860
265,2000,2000,Brazil,BRA-PT,NA,1,-22.5,-22.5,23940,1,0,23940
266,2000,2000,Brazil,BRA-PT,NA,1,-17.5,-27.5,1320,0.319,2817.931034,4137.931034
267,2000,2000,Brazil,BRA-PT,NA,1,-17.5,-22.5,6660,1,0,6660
268,2000,2000,Brazil,BRA-PT,NA,2,-37.5,-22.5,5000,1,0,5000
269,2000,2000,Brazil,BRA-PT,NA,2,-37.5,-17.5,5000,1,0,5000
270,2000,2000,Brazil,BRA-PT,NA,2,-37.5,-12.5,1000,1,0,1000
271,2000,2000,Brazil,BRA-PT,NA,2,-32.5,-22.5,1000,1,0,1000
272,2000,2000,Brazil,BRA-PT,NA,2,-32.5,-17.5,4000,1,0,4000
273,2000,2000,Brazil,BRA-PT,NA,2,-32.5,-12.5,8000,1,0,8000
274,2000,2000,Brazil,BRA-PT,NA,2,-32.5,-2.5,2000,1,0,2000
275,2000,2000,Brazil,BRA-PT,NA,2,-32.5,2.5,3600,1,0,3600
276,2000,2000,Brazil,BRA-PT,NA,2,-27.5,-17.5,5000,1,0,5000
277,2000,2000,Brazil,BRA-PT,NA,2,-27.5,2.5,22800,1,0,22800
278,2000,2000,Brazil,BRA-PT,NA,2,-22.5,2.5,12000,1,0,12000
279,2000,2000,Brazil,BRA-PT,NA,3,-47.5,-37.5,1000,1,0,1000
280,2000,2000,Brazil,BRA-PT,NA,3,-47.5,-32.5,16600,1,0,16600
281,2000,2000,Brazil,BRA-PT,NA,3,-47.5,-27.5,600,1,0,600
282,2000,2000,Brazil,BRA-PT,NA,3,-42.5,-32.5,2000,1,0,2000
283,2000,2000,Brazil,BRA-PT,NA,3,-42.5,-27.5,2000,1,0,2000
284,2000,2000,Brazil,BRA-PT,NA,3,-42.5,-22.5,7000,1,0,7000
285,2000,2000,Brazil,BRA-PT,NA,3,-37.5,-27.5,6100,1,0,6100
286,2000,2000,Brazil,BRA-PT,NA,3,-37.5,-22.5,1000,1,0,1000
287,2000,2000,Brazil,BRA-PT,NA,3,-37.5,-17.5,5000,1,0,5000
288,2000,2000,Brazil,BRA-PT,NA,3,-32.5,-32.5,15000,1,0,15000
289,2000,2000,Brazil,BRA-TW,NA,1,-37.5,-2.5,21760,1,0,21760
290,2000,2000,Brazil,BRA-TW,NA,1,-37.5,2.5,14620,1,0,14620
291,2000,2000,Brazil,BRA-TW,NA,1,-37.5,7.5,187720,0.542181818,158510.7176,346230.7176
292,2000,2000,Brazil,BRA-TW,NA,1,-32.5,-2.5,112150,1,0,112150
293,2000,2000,Brazil,BRA-TW,NA,1,-32.5,2.5,199726,1,0,199726
294,2000,2000,Brazil,BRA-TW,NA,1,-32.5,7.5,185247,1,0,185247
295,2000,2000,Brazil,BRA-TW,NA,1,-27.5,-7.5,19600,1,0,19600
296,2000,2000,Brazil,BRA-TW,NA,1,-27.5,-2.5,171172,1,0,171172
297,2000,2000,Brazil,BRA-TW,NA,1,-27.5,2.5,2560,1,0,2560
